school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Grade
GP,M,U,GT3,T,low,none,other,other,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,1,3,none,A+
GP,F,U,GT3,T,mid,mid,at_home,other,reputation,father,low,high,none,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,2,four_to_six,A
GP,F,U,LE3,T,mid,mid,at_home,services,course,mother,low,medium,low,no,yes,no,no,no,yes,yes,yes,5,3,1,1,1,5,more_than_ten,D
GP,F,U,GT3,T,high,mid,teacher,services,home,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,one_to_three,B
GP,M,U,GT3,T,mid,mid,services,other,home,father,low,high,none,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,four_to_six,B
GP,F,U,GT3,T,high,high,services,services,course,mother,low,low,none,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,none,C
GP,M,U,LE3,T,mid,mid,services,services,reputation,mother,low,medium,none,no,yes,no,yes,no,no,yes,no,4,4,4,1,3,3,more_than_ten,C
MS,F,R,GT3,T,mid,mid,other,other,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,no,no,5,3,2,1,1,1,none,A
MS,M,U,LE3,T,low,low,at_home,at_home,course,mother,medium,medium,none,no,yes,no,yes,yes,yes,no,no,4,3,3,1,4,5,four_to_six,D
GP,F,R,GT3,T,low,low,at_home,other,course,mother,high,low,high,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,four_to_six,D
MS,F,R,GT3,T,low,mid,other,services,course,father,medium,medium,none,no,no,no,no,no,yes,no,no,3,2,2,1,2,3,none,C
MS,F,U,GT3,T,mid,mid,services,at_home,course,mother,low,low,none,no,no,no,no,yes,yes,yes,no,3,1,3,1,4,3,one_to_three,F
MS,F,R,GT3,T,low,low,at_home,other,home,father,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,one_to_three,D
GP,F,U,LE3,T,mid,high,other,health,course,father,medium,medium,none,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,one_to_three,C
GP,F,U,GT3,T,high,mid,other,other,reputation,mother,low,medium,none,no,no,no,no,yes,yes,yes,yes,3,4,5,2,4,1,more_than_ten,D
GP,F,U,LE3,T,mid,mid,services,other,course,mother,medium,medium,none,yes,yes,no,no,yes,yes,yes,yes,4,4,4,2,3,5,four_to_six,C
GP,F,U,GT3,T,mid,mid,other,services,reputation,father,low,very_high,none,no,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,more_than_ten,A
GP,M,U,GT3,T,high,mid,teacher,other,course,mother,low,medium,none,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,3,one_to_three,D
GP,M,U,GT3,T,high,mid,teacher,other,course,mother,medium,medium,none,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,none,C
GP,F,U,GT3,T,high,high,teacher,health,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,one_to_three,B
GP,F,U,GT3,T,high,high,services,teacher,home,mother,medium,low,low,no,yes,no,no,yes,yes,yes,no,4,2,4,2,3,2,more_than_ten,A
GP,F,U,LE3,T,high,high,teacher,teacher,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,4,5,2,1,2,3,none,D
GP,M,U,GT3,T,mid,mid,other,other,reputation,father,low,medium,none,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,4,four_to_six,D
GP,M,U,GT3,T,mid,low,other,other,home,mother,low,medium,none,no,no,no,yes,yes,yes,yes,no,5,2,4,1,2,4,one_to_three,A
GP,M,U,GT3,T,high,high,health,health,other,father,low,low,none,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,none,C
GP,F,U,LE3,T,mid,mid,other,other,home,mother,medium,medium,none,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,more_than_ten,D
MS,M,R,GT3,T,mid,mid,services,services,course,mother,medium,low,none,no,yes,no,yes,yes,yes,yes,yes,5,4,3,2,4,4,four_to_six,F
GP,F,U,GT3,T,high,mid,services,other,home,father,low,medium,none,no,yes,no,no,yes,yes,yes,yes,3,1,2,1,3,2,one_to_three,B
GP,F,U,LE3,T,mid,mid,other,other,course,father,low,low,none,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,one_to_three,C
GP,M,R,GT3,T,mid,low,health,services,reputation,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,four_to_six,D
GP,M,R,GT3,T,low,mid,other,other,course,father,high,medium,low,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,more_than_ten,D
MS,F,R,GT3,T,mid,mid,at_home,other,course,mother,high,medium,low,no,no,no,yes,yes,yes,no,yes,4,3,3,1,1,4,none,F
GP,M,U,GT3,A,mid,mid,other,other,home,other,low,high,none,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,none,B
GP,M,U,GT3,T,mid,low,other,other,reputation,father,medium,very_high,none,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,one_to_three,D
MS,F,R,GT3,T,low,low,other,other,home,father,very_high,very_high,none,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,1,none,C
GP,F,U,GT3,T,mid,mid,at_home,other,course,mother,low,low,none,no,yes,yes,yes,yes,yes,yes,no,4,2,5,2,5,5,one_to_three,D
GP,M,U,GT3,T,mid,low,services,other,other,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,5,4,4,3,4,5,none,B
MS,M,U,GT3,T,mid,mid,at_home,services,course,mother,medium,low,high,no,no,no,yes,yes,yes,no,no,3,2,1,1,1,3,four_to_six,F
GP,F,U,GT3,T,mid,mid,other,other,other,father,medium,low,none,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,four_to_six,D
GP,M,U,GT3,T,mid,mid,at_home,other,reputation,mother,medium,high,none,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,2,none,C
MS,F,R,GT3,T,mid,mid,other,other,course,father,high,medium,none,no,yes,no,no,yes,no,yes,no,3,4,5,1,2,1,one_to_three,D
MS,F,R,GT3,T,low,low,other,services,reputation,mother,high,low,low,no,yes,no,no,yes,yes,yes,yes,5,2,1,1,2,1,none,F
MS,F,R,GT3,T,mid,mid,services,other,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,yes,4,5,4,1,1,1,four_to_six,C
MS,M,R,GT3,T,high,mid,services,other,home,mother,medium,medium,low,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,four_to_six,D
MS,M,U,GT3,T,mid,mid,at_home,at_home,course,mother,low,medium,medium,no,yes,no,yes,yes,no,yes,no,4,4,5,1,3,3,more_than_ten,F
GP,F,U,GT3,T,mid,low,other,other,course,mother,low,medium,none,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,none,C
MS,M,U,GT3,T,mid,high,services,other,other,mother,low,medium,low,no,yes,no,yes,no,yes,yes,yes,5,4,4,3,4,5,more_than_ten,F
MS,F,R,GT3,T,mid,low,at_home,other,reputation,mother,low,medium,none,no,yes,no,yes,no,yes,yes,no,4,5,4,2,3,1,more_than_ten,F
GP,F,U,GT3,A,high,mid,services,services,course,mother,low,medium,none,no,yes,no,no,yes,yes,yes,yes,5,2,2,1,2,5,more_than_ten,A
MS,F,R,LE3,A,mid,mid,other,other,course,other,medium,high,medium,no,yes,no,no,no,no,no,yes,3,3,2,1,1,2,four_to_six,D
MS,F,R,LE3,T,low,low,other,services,course,mother,medium,low,low,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,2,2,four_to_six,F
GP,F,U,GT3,A,mid,mid,other,services,course,other,low,high,none,no,yes,no,yes,no,yes,yes,yes,4,3,3,5,1,5,more_than_ten,D
GP,F,U,GT3,T,high,mid,other,at_home,course,mother,low,high,none,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,one_to_three,C
MS,M,R,GT3,T,mid,mid,other,other,course,mother,medium,low,none,no,no,no,yes,yes,no,no,yes,5,5,5,3,5,5,none,D
GP,M,U,GT3,T,high,high,health,other,reputation,father,low,medium,none,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,4,1,none,B
MS,F,U,LE3,T,low,low,at_home,other,other,mother,high,medium,none,no,yes,no,no,yes,yes,yes,no,4,3,2,1,3,5,four_to_six,F
GP,F,U,GT3,T,mid,mid,services,other,home,mother,medium,medium,none,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,more_than_ten,D
MS,M,R,LE3,T,high,low,health,services,reputation,father,low,medium,none,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,2,none,B
GP,M,U,LE3,T,high,high,services,other,home,mother,low,medium,none,no,yes,no,no,yes,yes,yes,yes,5,3,5,4,5,3,more_than_ten,C
MS,F,U,GT3,T,low,mid,at_home,other,other,father,medium,low,none,no,yes,no,no,yes,no,yes,yes,4,3,3,1,3,5,more_than_ten,D
GP,M,U,LE3,T,mid,mid,other,other,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,one_to_three,D
GP,F,R,GT3,T,mid,mid,services,services,reputation,father,low,medium,low,yes,yes,no,no,yes,no,yes,no,3,3,3,4,3,3,none,D
GP,F,U,LE3,T,mid,mid,services,other,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,four_to_six,D
GP,M,R,GT3,T,low,mid,at_home,other,home,mother,low,medium,none,no,no,no,no,yes,yes,no,no,3,1,3,1,5,3,four_to_six,D
MS,F,R,LE3,T,low,low,at_home,services,reputation,father,medium,medium,none,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,4,none,D
GP,F,U,GT3,T,low,low,services,services,course,father,very_high,low,none,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,none,A
GP,F,U,GT3,A,mid,mid,other,other,course,other,medium,low,none,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,four_to_six,D
GP,F,U,GT3,T,mid,mid,other,other,course,mother,low,medium,none,no,no,no,yes,no,yes,yes,no,5,3,4,1,3,3,one_to_three,A
MS,F,R,GT3,T,low,mid,other,services,course,mother,medium,low,none,no,no,no,no,yes,yes,no,no,5,1,2,1,1,1,one_to_three,C
GP,M,U,GT3,T,mid,low,services,services,other,mother,low,low,high,no,no,no,no,no,no,yes,yes,5,4,5,5,5,1,more_than_ten,F
GP,M,R,GT3,T,mid,mid,other,services,reputation,father,low,low,none,no,no,no,no,yes,yes,yes,no,3,1,3,4,5,4,more_than_ten,B
MS,M,U,GT3,T,mid,mid,other,other,course,mother,low,low,low,no,no,no,yes,yes,yes,no,yes,1,2,1,2,3,5,none,F
MS,F,U,GT3,T,high,mid,teacher,other,course,father,medium,very_high,none,no,no,no,no,yes,yes,yes,yes,4,2,3,3,1,5,none,A+
GP,F,U,GT3,T,high,high,teacher,teacher,course,mother,medium,low,none,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,four_to_six,B
GP,M,U,GT3,T,high,high,teacher,teacher,reputation,mother,low,medium,none,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,none,C
MS,F,U,LE3,A,mid,mid,at_home,other,reputation,mother,medium,very_high,none,no,no,no,yes,no,no,no,yes,1,2,1,1,1,1,four_to_six,D
GP,M,U,LE3,T,high,mid,teacher,other,course,mother,low,medium,none,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,none,B
MS,F,U,GT3,T,low,low,at_home,services,course,mother,high,medium,low,no,no,no,no,yes,no,no,no,4,4,2,1,2,2,one_to_three,D
MS,F,U,GT3,T,mid,mid,other,at_home,home,mother,low,high,none,no,no,no,yes,yes,yes,no,yes,3,4,3,1,1,3,more_than_ten,C
MS,F,R,LE3,A,mid,low,services,other,reputation,mother,medium,medium,none,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,2,four_to_six,C
GP,F,R,GT3,T,mid,high,at_home,other,course,father,low,high,none,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,5,none,B
MS,M,R,LE3,T,low,mid,at_home,other,reputation,father,high,low,none,no,yes,no,yes,yes,yes,yes,no,4,2,4,3,5,3,one_to_three,D
GP,F,U,GT3,T,low,low,at_home,services,course,mother,low,medium,none,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,3,none,C
GP,M,U,LE3,T,low,mid,other,other,course,mother,medium,low,none,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,one_to_three,D
GP,M,R,GT3,T,mid,mid,services,services,reputation,mother,low,low,none,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,4,5,none,D
GP,M,U,LE3,T,high,mid,health,other,home,father,low,low,none,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,four_to_six,C
GP,M,R,GT3,T,high,high,teacher,teacher,course,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,more_than_ten,B
GP,F,R,GT3,T,mid,low,at_home,services,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,4,2,5,1,2,5,none,D
GP,M,U,LE3,T,high,mid,teacher,other,course,mother,low,low,none,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,more_than_ten,A+
MS,M,R,GT3,T,low,low,at_home,other,other,father,medium,low,none,no,no,no,yes,yes,yes,no,no,3,4,4,3,4,5,four_to_six,D
GP,F,U,GT3,T,mid,low,other,at_home,home,mother,low,low,low,no,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,3,four_to_six,C
GP,F,R,LE3,A,low,high,other,other,course,other,very_high,low,low,no,yes,no,no,yes,yes,yes,no,5,5,4,1,1,5,more_than_ten,F
MS,M,U,LE3,T,low,mid,at_home,services,home,mother,medium,low,none,no,yes,no,no,no,yes,no,no,4,1,4,5,5,1,more_than_ten,D
GP,M,R,GT3,T,low,low,other,other,home,father,medium,high,none,no,no,no,no,no,yes,yes,yes,4,3,3,1,1,1,one_to_three,B
MS,F,R,GT3,T,high,mid,other,other,course,mother,medium,medium,none,yes,yes,no,no,no,yes,yes,no,4,3,3,2,3,5,none,A+
MS,F,R,GT3,T,mid,mid,at_home,other,course,mother,medium,low,none,no,yes,no,no,yes,yes,yes,no,5,4,4,2,3,5,four_to_six,D
MS,F,R,GT3,T,low,low,other,other,home,mother,very_high,high,none,no,no,no,no,yes,yes,yes,no,4,3,2,1,2,4,four_to_six,C
GP,F,U,GT3,T,mid,mid,other,other,home,mother,low,high,none,no,no,no,yes,no,yes,no,no,3,2,3,1,1,4,one_to_three,C
GP,F,U,LE3,A,mid,high,other,other,home,mother,low,medium,none,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,none,D
GP,F,U,GT3,T,mid,mid,other,other,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,1,2,2,1,2,1,more_than_ten,A
MS,F,U,GT3,A,low,none,other,other,other,mother,medium,medium,none,no,no,no,no,yes,yes,yes,yes,4,4,5,1,1,4,one_to_three,D
GP,M,R,GT3,T,mid,mid,at_home,services,home,other,low,low,none,no,yes,no,no,no,yes,no,yes,5,3,4,2,2,5,none,D
GP,F,U,GT3,T,mid,mid,services,services,home,mother,low,medium,none,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,4,more_than_ten,C
GP,F,U,GT3,T,high,mid,health,services,home,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,none,B
GP,F,U,LE3,A,high,high,health,other,home,mother,low,medium,none,no,yes,yes,no,yes,yes,yes,yes,4,2,4,1,1,4,none,B
GP,F,U,GT3,T,low,low,at_home,other,reputation,mother,low,high,none,no,yes,no,yes,yes,yes,no,yes,4,3,4,1,1,5,more_than_ten,C
GP,M,U,GT3,T,high,mid,health,other,reputation,father,low,medium,none,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,3,5,four_to_six,B
GP,F,U,GT3,T,mid,mid,at_home,services,home,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,none,C
GP,F,U,GT3,T,mid,mid,at_home,other,course,mother,low,high,none,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,3,none,B
GP,F,R,LE3,T,high,high,services,other,other,mother,low,low,none,no,yes,no,no,yes,yes,no,no,5,2,1,1,2,3,four_to_six,D
GP,F,U,LE3,T,mid,mid,at_home,other,course,mother,low,medium,none,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,four_to_six,D
GP,M,U,GT3,T,mid,mid,services,other,course,mother,medium,low,none,no,no,no,no,yes,no,yes,no,4,4,5,2,4,5,more_than_ten,F
GP,M,U,GT3,T,mid,low,other,other,course,mother,high,low,none,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,more_than_ten,A
MS,F,R,GT3,T,mid,mid,at_home,other,course,father,low,medium,low,no,no,no,no,yes,yes,no,yes,4,5,4,1,2,5,none,D
MS,F,R,GT3,T,high,high,teacher,other,course,mother,medium,low,none,no,no,no,no,yes,yes,yes,yes,1,5,1,3,5,5,none,B
MS,M,U,GT3,T,low,low,at_home,services,home,mother,medium,medium,none,no,yes,no,yes,yes,yes,no,yes,5,4,5,4,5,3,none,F
GP,F,U,LE3,T,low,low,at_home,other,other,mother,low,medium,none,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,four_to_six,C
MS,F,U,GT3,T,mid,low,at_home,other,home,mother,low,medium,none,yes,yes,no,no,no,yes,yes,no,4,4,2,3,3,2,none,F
MS,M,R,GT3,T,low,low,services,other,course,other,medium,low,low,no,yes,no,no,yes,no,yes,yes,5,3,3,2,3,5,one_to_three,F
MS,M,R,GT3,T,low,low,other,other,home,mother,medium,low,low,no,no,no,yes,yes,no,yes,no,4,4,3,3,4,4,none,D
GP,M,U,GT3,T,mid,mid,services,services,other,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,3,4,four_to_six,B
MS,M,R,GT3,T,mid,mid,other,other,course,mother,high,low,low,no,yes,no,no,no,yes,yes,no,4,4,5,1,2,5,none,F
GP,F,U,GT3,T,high,high,services,at_home,course,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,four_to_six,B
GP,M,U,LE3,T,high,mid,teacher,other,course,mother,medium,medium,none,no,no,no,yes,yes,yes,yes,no,4,4,4,4,4,4,none,D
GP,F,U,LE3,T,high,mid,other,other,home,other,medium,medium,none,no,yes,no,no,yes,yes,yes,yes,4,4,5,1,2,2,none,B
GP,M,U,GT3,T,mid,mid,other,services,reputation,mother,low,low,none,no,no,no,yes,no,yes,yes,no,4,3,5,3,5,5,none,A
GP,M,U,GT3,T,high,high,health,other,course,mother,low,low,none,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,four_to_six,C
MS,M,R,LE3,T,high,low,health,services,reputation,father,low,medium,none,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,2,more_than_ten,F
MS,F,U,GT3,T,mid,mid,at_home,services,other,mother,medium,medium,low,no,no,no,yes,yes,yes,yes,yes,3,3,4,2,4,3,more_than_ten,D
GP,F,U,LE3,T,high,mid,teacher,services,reputation,mother,low,very_high,none,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,4,one_to_three,A
MS,F,R,GT3,T,low,mid,other,other,home,father,low,high,none,yes,yes,no,no,no,yes,yes,yes,4,3,4,1,1,3,four_to_six,C
GP,F,U,GT3,T,mid,mid,other,other,reputation,mother,low,very_high,none,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,one_to_three,C
GP,F,U,GT3,T,mid,mid,other,other,home,mother,low,medium,none,no,yes,no,no,no,yes,yes,no,5,1,5,1,1,4,none,C
MS,M,U,LE3,A,mid,mid,other,other,reputation,mother,high,very_high,none,no,yes,no,yes,yes,yes,no,no,5,4,5,2,3,5,more_than_ten,B
MS,F,R,GT3,T,mid,mid,other,other,course,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,5,none,C
MS,F,U,GT3,T,mid,low,other,other,course,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,1,none,F
MS,M,U,LE3,A,mid,low,services,services,course,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,5,more_than_ten,C
GP,F,R,GT3,T,mid,low,other,other,course,other,medium,medium,none,no,yes,yes,yes,yes,no,yes,yes,1,2,3,1,2,2,more_than_ten,C
GP,F,U,GT3,T,mid,mid,services,other,home,mother,medium,high,none,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,3,5,more_than_ten,D
MS,F,U,GT3,T,low,low,other,other,course,other,low,very_high,none,yes,yes,no,yes,yes,yes,yes,no,2,2,1,1,1,5,none,B
MS,M,U,GT3,T,mid,low,other,services,home,mother,medium,low,none,no,yes,no,no,yes,yes,no,no,3,2,3,1,3,4,none,D
MS,F,R,LE3,A,low,mid,at_home,other,course,mother,high,medium,none,no,no,no,no,yes,yes,no,yes,4,3,4,1,4,5,none,B
GP,F,U,GT3,T,high,high,health,health,course,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,5,3,4,1,2,5,one_to_three,A
GP,F,R,LE3,T,low,low,at_home,other,reputation,mother,medium,very_high,none,no,yes,no,yes,yes,yes,no,no,5,2,2,1,1,3,one_to_three,A+
MS,M,U,GT3,T,mid,mid,health,other,course,mother,medium,medium,low,no,yes,no,no,yes,yes,yes,no,4,5,4,2,3,3,four_to_six,D
GP,F,U,GT3,T,high,high,teacher,teacher,course,mother,medium,high,none,no,yes,no,no,no,yes,yes,yes,4,3,3,1,2,4,four_to_six,B
GP,F,U,GT3,T,mid,low,services,other,reputation,mother,low,medium,high,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,more_than_ten,F
GP,F,U,GT3,T,high,high,services,services,reputation,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,more_than_ten,B
GP,F,U,LE3,A,mid,mid,other,other,other,mother,low,low,none,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,none,C
MS,M,R,GT3,T,low,none,at_home,at_home,course,other,high,low,low,yes,yes,no,no,yes,yes,no,no,4,3,2,1,1,4,none,C
GP,F,U,GT3,T,high,high,other,teacher,course,mother,low,low,none,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,none,C
GP,F,R,GT3,T,mid,high,services,health,course,mother,low,high,none,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,one_to_three,D
GP,M,U,GT3,T,mid,mid,other,services,course,father,low,low,none,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,none,C
GP,F,U,GT3,T,mid,mid,at_home,other,home,mother,low,medium,low,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,more_than_ten,D
MS,F,U,LE3,T,low,low,at_home,services,course,father,medium,high,none,no,no,no,no,yes,yes,yes,no,5,3,2,1,1,4,none,A+
GP,M,U,LE3,T,mid,low,at_home,other,course,mother,very_high,medium,none,yes,yes,no,yes,yes,yes,yes,yes,4,3,2,4,5,3,one_to_three,D
MS,F,R,GT3,A,low,low,at_home,at_home,course,other,medium,medium,high,no,yes,no,yes,yes,no,no,yes,3,5,4,1,4,1,none,F
GP,F,U,LE3,T,mid,mid,other,other,home,other,low,medium,none,no,no,no,yes,no,yes,yes,yes,4,3,3,1,1,2,none,C
MS,F,U,GT3,T,mid,mid,services,at_home,reputation,father,medium,medium,none,no,no,no,yes,no,yes,yes,no,4,3,5,1,1,1,one_to_three,B
MS,F,R,GT3,T,mid,mid,other,other,other,mother,medium,medium,none,yes,no,yes,no,yes,yes,no,no,5,1,3,1,1,5,none,D
GP,F,U,GT3,T,high,high,services,teacher,other,father,low,medium,none,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,one_to_three,C
MS,M,R,GT3,T,low,low,other,services,other,mother,medium,low,low,no,no,no,no,yes,yes,no,no,4,3,2,1,3,5,none,F
MS,F,U,GT3,T,mid,mid,other,services,course,father,low,low,low,no,yes,yes,yes,no,yes,yes,no,4,4,3,1,4,3,one_to_three,D
GP,F,U,GT3,T,high,high,teacher,services,course,mother,low,medium,none,no,yes,yes,no,yes,yes,yes,yes,5,3,1,1,4,5,one_to_three,C
GP,M,U,GT3,T,high,mid,teacher,other,home,mother,low,medium,none,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,four_to_six,C
GP,F,U,GT3,T,mid,mid,other,other,course,mother,low,low,none,no,yes,no,yes,yes,yes,yes,yes,4,3,5,2,4,5,one_to_three,D
MS,M,R,LE3,T,low,mid,other,at_home,course,mother,low,low,none,no,no,no,no,yes,yes,no,no,4,4,4,2,4,5,four_to_six,D
GP,M,R,GT3,T,high,mid,teacher,services,other,mother,low,low,none,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,3,more_than_ten,D
MS,F,R,GT3,T,low,low,at_home,other,other,mother,medium,low,none,no,no,no,yes,yes,yes,yes,yes,4,2,2,4,3,2,none,B
GP,F,U,GT3,T,low,low,at_home,other,course,mother,high,low,none,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,four_to_six,C
GP,F,U,LE3,T,mid,mid,other,at_home,course,father,medium,medium,low,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,more_than_ten,D
GP,M,U,GT3,T,mid,low,other,other,reputation,mother,low,low,none,no,no,no,no,yes,yes,yes,no,5,3,4,1,4,4,more_than_ten,D
GP,F,U,LE3,T,high,mid,health,services,course,mother,medium,low,none,no,yes,no,no,yes,yes,yes,no,3,2,4,1,4,1,more_than_ten,B
GP,M,U,GT3,T,mid,mid,services,services,course,father,low,low,none,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,none,D
MS,F,U,LE3,A,low,low,at_home,other,course,mother,low,low,none,no,yes,no,no,yes,no,no,no,1,4,4,1,1,5,none,F
MS,M,U,GT3,T,mid,mid,services,at_home,course,mother,medium,very_high,low,no,yes,yes,yes,yes,yes,no,no,5,4,5,3,4,5,none,D
GP,M,U,GT3,T,mid,mid,services,services,course,mother,low,low,high,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,one_to_three,F
GP,M,U,GT3,T,low,mid,at_home,services,other,other,medium,medium,none,no,no,no,yes,no,yes,yes,no,4,4,4,4,5,5,more_than_ten,C
GP,M,U,GT3,T,mid,low,other,other,reputation,mother,low,low,none,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,none,B
GP,F,U,GT3,T,high,high,teacher,other,course,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,4,4,4,3,3,5,none,C
GP,F,U,GT3,T,mid,mid,services,other,reputation,mother,medium,medium,none,no,no,no,yes,no,yes,yes,no,3,4,4,1,4,5,none,B
MS,F,R,GT3,T,low,low,at_home,at_home,course,mother,medium,low,low,no,no,no,no,no,no,yes,yes,3,2,3,1,1,2,four_to_six,D
GP,F,U,GT3,T,mid,mid,other,services,reputation,father,high,high,none,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,1,1,more_than_ten,B
MS,F,R,LE3,T,mid,mid,other,services,course,father,low,medium,none,no,no,no,yes,yes,yes,no,yes,5,4,3,1,1,1,none,C
GP,M,U,GT3,T,mid,mid,other,other,home,father,medium,low,none,no,no,no,no,yes,no,yes,no,4,4,4,2,3,4,more_than_ten,F
MS,M,R,GT3,T,low,low,other,other,course,mother,very_high,medium,none,no,yes,no,yes,yes,yes,no,yes,5,4,5,2,4,4,more_than_ten,F
GP,M,U,LE3,T,mid,low,other,other,course,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,none,A
